Model,Augmentation,Train Acc (%),Test Acc (%),Test Loss,Precision (%),Recall (%),F1-Score (%)
ResNet50,×4,97.09,94.33,0.1421,94.45,94.5,94.2
DenseNet121,×4,99.48,99.74,0.0233,99.75,99.74,99.74
ResNet50,×6,95.18,92.25,0.1938,92.69,92.27,92.15
DenseNet121,×6,99.7,99.66,0.0118,99.63,99.66,99.64
ResNet50,×8,98.22,98.32,0.0545,98.25,98.32,98.23
DenseNet121,×8,99.71,99.48,0.0155,99.49,99.42,99.45
UltraTamNet,×8,99.61,99.35,0.0211,99.42,99.29,99.34
UltraTamNet,×6,99.27,98.8,0.0389,98.84,98.8,98.8
ResNet50,×10,97.7,99.28,0.029,99.29,99.28,99.27
DenseNet121,×10,99.79,99.9,0.0021,99.9,99.9,99.9
UltraTamNet,×10,99.77,99.79,0.0101,99.81,99.8,99.8
MobileNetV2,×8,99.0,99.1,0.0286,99.12,99.06,99.08
MobileNetV2,×10,99.1,98.14,0.0789,98.16,98.13,98.14
MobileNetV2,×6,98.49,91.05,0.4014,92.47,91.09,91.26
