Model,Category,Test Acc (%),Test Loss,F1-Score,Params (M),FLOPs (M),Notes
ResNet50,CNN,97.81,0.0838,0.978,23.9,620.0,
DenseNet169,CNN,97.42,0.1066,0.974,12.0,540.0,
DenseNet121,CNN,97.5,0.0801,0.975,7.2,453.0,
EfficientNetB0,Lightweight,96.17,0.1294,0.963,4.24,65.0,
EfficientNetB5,Lightweight,97.5,0.1147,0.974,28.8,402.0,
LeNet-5,Baseline,92.83,0.2962,0.929,2.48,0.83,
MobileNetV2,Lightweight,97.29,0.0907,0.973,2.45,49.0,
MobileNetV3Small,Lightweight,96.64,0.143,0.966,1.03,10.0,
MobileNetV3Large,Lightweight,95.85,0.1774,0.956,3.14,39.0,
NASNetMobile,Lightweight,95.69,0.1659,0.955,4.43,93.0,
Xception,CNN,96.17,0.1405,0.956,21.18,1105.0,
UltraTamNet (Ours),Tamil-Optimized,98.22,0.093,0.981,1.27,167.0,
